code,dataset,field,code_type,description,group,subgroup,flag1,flag2
X81,hes_apc,diag,icd10,intentional self-harm by jumping or lying before moving object,self-harm,intent_self_harm,emergency_admission,
X82,hes_apc,diag,icd10,intentional self-harm by crashing of motor vehicle,self-harm,intent_self_harm,emergency_admission,
X83,hes_apc,diag,icd10,intentional self-harm by other specified means,self-harm,intent_self_harm,emergency_admission,
X84,hes_apc,diag,icd10,intentional self-harm by unspecified means,self-harm,intent_self_harm,emergency_admission,
Z91.5,hes_apc,diag,icd10,personal history of self-harm,self-harm,personal_history_self_harm,emergency_admission,
F11,hes_apc,diag,icd10,mental and behavioural disorders due to use of opioids,drug_alc,illicit_drugs,emergency_admission,
F12,hes_apc,diag,icd10,mental and behavioural disorders due to use of cannabinoids,drug_alc,illicit_drugs,emergency_admission,
F13,hes_apc,diag,icd10,mental and behavioural disorders due to use of sedatives or hypnotics,drug_alc,illicit_drugs,emergency_admission,
F14,hes_apc,diag,icd10,mental and behavioural disorders due to use of cocaine,drug_alc,illicit_drugs,emergency_admission,
F15,hes_apc,diag,icd10,mental and behavioural disorders due to use of other stimulants including caffeine,drug_alc,illicit_drugs,emergency_admission,
F16,hes_apc,diag,icd10,mental and behavioural disorders due to use of hallucinogens,drug_alc,illicit_drugs,emergency_admission,
F17,hes_apc,diag,icd10,mental and behavioural disorders due to use of tobacco,drug_alc,illicit_drugs,emergency_admission,
F19,hes_apc,diag,icd10,mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,drug_alc,illicit_drugs,emergency_admission,
R78.1,hes_apc,diag,icd10,finding of opiate drug in blood,drug_alc,illicit_drugs,emergency_admission,
R78.2,hes_apc,diag,icd10,finding of cocaine in blood,drug_alc,illicit_drugs,emergency_admission,
R78.3,hes_apc,diag,icd10,finding of hallucinogen in blood,drug_alc,illicit_drugs,emergency_admission,
R78.4,hes_apc,diag,icd10,finding of other drugs of addictive potential in blood,drug_alc,illicit_drugs,emergency_admission,
R78.5,hes_apc,diag,icd10,finding of psychotropic drug in blood,drug_alc,illicit_drugs,emergency_admission,
T36,hes_apc,diag,icd10,poisoning by systemic antibiotics,drug_alc,illicit_drugs,emergency_admission,
T37,hes_apc,diag,icd10,poisoning by other systemic anti-infectives and antiparasitics,drug_alc,illicit_drugs,emergency_admission,
T38,hes_apc,diag,icd10,poisoning by hormones and their synthetic substitutes and antagonists not elsewhere classified,drug_alc,illicit_drugs,emergency_admission,
T39,hes_apc,diag,icd10,poisoning by nonopioid analgesics antipyretics and antirheumatics,drug_alc,illicit_drugs,emergency_admission,
T40,hes_apc,diag,icd10,poisoning by narcotics and psychodysleptics [hallucinogens],drug_alc,illicit_drugs,emergency_admission,
T41,hes_apc,diag,icd10,poisoning by anaesthetics and therapeutic gases,drug_alc,illicit_drugs,emergency_admission,
T42,hes_apc,diag,icd10,poisoning by antiepileptic sedative-hypnotic and antiparkinsonism drugs,drug_alc,illicit_drugs,emergency_admission,
T43,hes_apc,diag,icd10,poisoning by psychotropic drugs not elsewhere classified,drug_alc,illicit_drugs,emergency_admission,
T44,hes_apc,diag,icd10,poisoning by drugs primarily affecting the autonomic nervous system,drug_alc,illicit_drugs,emergency_admission,
T45,hes_apc,diag,icd10,poisoning by primarily systemic and haematological agents not elsewhere classified,drug_alc,illicit_drugs,emergency_admission,
T46,hes_apc,diag,icd10,poisoning by agents primarily affecting the cardiovascular system,drug_alc,illicit_drugs,emergency_admission,
T47,hes_apc,diag,icd10,poisoning by agents primarily affecting the gastrointestinal system,drug_alc,illicit_drugs,emergency_admission,
T48,hes_apc,diag,icd10,poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system,drug_alc,illicit_drugs,emergency_admission,
T49,hes_apc,diag,icd10,poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological otorhinolaryngological and dental drugs,drug_alc,illicit_drugs,emergency_admission,
T50.0,hes_apc,diag,icd10,poisoning: mineralocorticoids and their antagonists,drug_alc,illicit_drugs,emergency_admission,
T50.1,hes_apc,diag,icd10,poisoning: loop [high-ceiling] diuretics,drug_alc,illicit_drugs,emergency_admission,
T50.2,hes_apc,diag,icd10,poisoning: carbonic-anhydrase inhibitors benzothiadiazides and other diuretics,drug_alc,illicit_drugs,emergency_admission,
T50.3,hes_apc,diag,icd10,poisoning: electrolytic caloric and water-balance agents,drug_alc,illicit_drugs,emergency_admission,
T50.4,hes_apc,diag,icd10,poisoning: drugs affecting uric acid metabolism,drug_alc,illicit_drugs,emergency_admission,
T50.5,hes_apc,diag,icd10,poisoning: appetite depressants,drug_alc,illicit_drugs,emergency_admission,
T50.7,hes_apc,diag,icd10,poisoning: analeptics and opioid receptor antagonists,drug_alc,illicit_drugs,emergency_admission,
T50.8,hes_apc,diag,icd10,poisoning: diagnostic agents,drug_alc,illicit_drugs,emergency_admission,
T50.9,hes_apc,diag,icd10,poisoning: other and unspecified drugs medicaments and biological substances,drug_alc,illicit_drugs,emergency_admission,
Y10,hes_apc,diag,icd10,poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics undetermined intent,drug_alc,illicit_drugs,emergency_admission,
Y11,hes_apc,diag,icd10,poisoning by and exposure to antiepileptic sedative-hypnotic antiparkinsonism and psychotropic drugs not elsewhere classified undetermined intent,drug_alc,illicit_drugs,emergency_admission,
Y12,hes_apc,diag,icd10,poisoning by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified undetermined intent,drug_alc,illicit_drugs,emergency_admission,
Y13,hes_apc,diag,icd10,poisoning by and exposure to other drugs acting on the autonomic nervous system undetermined intent,drug_alc,illicit_drugs,emergency_admission,
Y14,hes_apc,diag,icd10,poisoning by and exposure to other and unspecified drugs medicaments and biological substances undetermined intent,drug_alc,illicit_drugs,emergency_admission,
Z50.3,hes_apc,diag,icd10,drug rehabilitation,drug_alc,illicit_drugs,emergency_admission,
Z71.5,hes_apc,diag,icd10,drug abuse counselling and surveillance,drug_alc,illicit_drugs,emergency_admission,
Z72.2,hes_apc,diag,icd10,drug use,drug_alc,illicit_drugs,emergency_admission,
F18,hes_apc,diag,icd10,mental and behavioural disorders due to use of volatile solvents,drug_alc,env_dom_subs,emergency_admission,
X40,hes_apc,diag,icd10,accidental poisoning by and exposure to nonopioid analgesics antipyretics and antirheumatics,drug_alc,env_dom_subs,emergency_admission,
X41,hes_apc,diag,icd10,accidental poisoning by and exposure to antiepileptic sedative-hypnotic antiparkinsonism and psychotropic drugs not elsewhere classified,drug_alc,env_dom_subs,emergency_admission,
X42,hes_apc,diag,icd10,accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified,drug_alc,env_dom_subs,emergency_admission,
X43,hes_apc,diag,icd10,accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,drug_alc,env_dom_subs,emergency_admission,
X44,hes_apc,diag,icd10,accidental poisoning by and exposure to other and unspecified drugs medicaments and biological substances,drug_alc,env_dom_subs,emergency_admission,
X46,hes_apc,diag,icd10,accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,drug_alc,env_dom_subs,emergency_admission,
X47,hes_apc,diag,icd10,accidental poisoning by and exposure to other gases and vapours,drug_alc,env_dom_subs,emergency_admission,
X48,hes_apc,diag,icd10,accidental poisoning by and exposure to pesticides,drug_alc,env_dom_subs,emergency_admission,
X49,hes_apc,diag,icd10,accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,drug_alc,env_dom_subs,emergency_admission,
X69,hes_apc,diag,icd10,intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances,drug_alc,env_dom_subs,emergency_admission,
Y16,hes_apc,diag,icd10,poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours undetermined intent,drug_alc,env_dom_subs,emergency_admission,
Y17,hes_apc,diag,icd10,poisoning by and exposure to other gases and vapours undetermined intent,drug_alc,env_dom_subs,emergency_admission,
Y18,hes_apc,diag,icd10,poisoning by and exposure to pesticides undetermined intent,drug_alc,env_dom_subs,emergency_admission,
Y19,hes_apc,diag,icd10,poisoning by and exposure to other and unspecified chemicals and noxious substances undetermined intent,drug_alc,env_dom_subs,emergency_admission,
G40.5,hes_apc,diag,icd10,special epileptic syndromes,drug_alc,codes_mentioning,emergency_admission,
Z04.0,hes_apc,diag,icd10,blood-alcohol and blood-drug test,drug_alc,codes_mentioning,emergency_admission,
E24.4,hes_apc,diag,icd10,alcohol-induced pseudo-cushing syndrome,drug_alc,codes_mentioning,emergency_admission,
F10,hes_apc,diag,icd10,mental and behavioural disorders due to use of alcohol,drug_alc,codes_mentioning,emergency_admission,
G31.2,hes_apc,diag,icd10,degeneration of nervous system due to alcohol,drug_alc,codes_mentioning,emergency_admission,
G62.1,hes_apc,diag,icd10,alcoholic polyneuropathy,drug_alc,codes_mentioning,emergency_admission,
G72.1,hes_apc,diag,icd10,alcoholic myopathy,drug_alc,codes_mentioning,emergency_admission,
I42.6,hes_apc,diag,icd10,alcoholic cardiomyopathy,drug_alc,codes_mentioning,emergency_admission,
K29.2,hes_apc,diag,icd10,alcoholic gastritis,drug_alc,codes_mentioning,emergency_admission,
K70,hes_apc,diag,icd10,alcoholic liver disease,drug_alc,codes_mentioning,emergency_admission,
K85.2,hes_apc,diag,icd10,alcohol-induced acute pancreatitis,drug_alc,codes_mentioning,emergency_admission,
K86.0,hes_apc,diag,icd10,alcohol-induced chronic pancreatitis,drug_alc,codes_mentioning,emergency_admission,
O35.4,hes_apc,diag,icd10,maternal care for (suspected) damage to fetus from alcohol,drug_alc,codes_mentioning,emergency_admission,
R78.0,hes_apc,diag,icd10,finding of alcohol in blood,drug_alc,codes_mentioning,emergency_admission,
T50.6,hes_apc,diag,icd10,poisoning: antidotes and chelating agents not elsewhere classified,drug_alc,codes_mentioning,emergency_admission,
T51,hes_apc,diag,icd10,toxic effect of alcohol,drug_alc,codes_mentioning,emergency_admission,
X45,hes_apc,diag,icd10,accidental poisoning by and exposure to alcohol,drug_alc,codes_mentioning,emergency_admission,
Y15,hes_apc,diag,icd10,poisoning by and exposure to alcohol undetermined intent,drug_alc,codes_mentioning,emergency_admission,
Y90,hes_apc,diag,icd10,evidence of alcohol involvement determined by blood alcohol level,drug_alc,codes_mentioning,emergency_admission,
Y91,hes_apc,diag,icd10,evidence of alcohol involvement determined by level of intoxication,drug_alc,codes_mentioning,emergency_admission,
Z50.2,hes_apc,diag,icd10,alcohol rehabilitation,drug_alc,codes_mentioning,emergency_admission,
Z71.4,hes_apc,diag,icd10,alcohol abuse counselling and surveillance,drug_alc,codes_mentioning,emergency_admission,
Z72.1,hes_apc,diag,icd10,alcohol use,drug_alc,codes_mentioning,emergency_admission,
V01,hes_apc,diag,icd10,pedestrian injured in collision with pedal cycle,accidents,transport_accidents,emergency_admission,
V02,hes_apc,diag,icd10,pedestrian injured in collision with two- or three-wheeled motor vehicle,accidents,transport_accidents,emergency_admission,
V03,hes_apc,diag,icd10,pedestrian injured in collision with car pick-up truck or van,accidents,transport_accidents,emergency_admission,
V04,hes_apc,diag,icd10,pedestrian injured in collision with heavy transport vehicle or bus,accidents,transport_accidents,emergency_admission,
V05,hes_apc,diag,icd10,pedestrian injured in collision with railway train or railway vehicle,accidents,transport_accidents,emergency_admission,
V06,hes_apc,diag,icd10,pedestrian injured in collision with other nonmotor vehicle,accidents,transport_accidents,emergency_admission,
V09,hes_apc,diag,icd10,pedestrian injured in other and unspecified transport accidents,accidents,transport_accidents,emergency_admission,
V10,hes_apc,diag,icd10,pedal cyclist injured in collision with pedestrian or animal,accidents,transport_accidents,emergency_admission,
V11,hes_apc,diag,icd10,pedal cyclist injured in collision with other pedal cycle,accidents,transport_accidents,emergency_admission,
V12,hes_apc,diag,icd10,pedal cyclist injured in collision with two- or three-wheeled motor vehicle,accidents,transport_accidents,emergency_admission,
V13,hes_apc,diag,icd10,pedal cyclist injured in collision with car pick-up truck or van,accidents,transport_accidents,emergency_admission,
V14,hes_apc,diag,icd10,pedal cyclist injured in collision with heavy transport vehicle or bus,accidents,transport_accidents,emergency_admission,
V15,hes_apc,diag,icd10,pedal cyclist injured in collision with railway train or railway vehicle,accidents,transport_accidents,emergency_admission,
V16,hes_apc,diag,icd10,pedal cyclist injured in collision with other nonmotor vehicle,accidents,transport_accidents,emergency_admission,
V17,hes_apc,diag,icd10,pedal cyclist injured in collision with fixed or stationary object,accidents,transport_accidents,emergency_admission,
V18,hes_apc,diag,icd10,pedal cyclist injured in noncollision transport accident,accidents,transport_accidents,emergency_admission,
V19,hes_apc,diag,icd10,pedal cyclist injured in other and unspecified transport accidents,accidents,transport_accidents,emergency_admission,
V20,hes_apc,diag,icd10,motorcycle rider injured in collision with pedestrian or animal,accidents,transport_accidents,emergency_admission,
V21,hes_apc,diag,icd10,motorcycle rider injured in collision with pedal cycle,accidents,transport_accidents,emergency_admission,
V22,hes_apc,diag,icd10,motorcycle rider injured in collision with two- or three-wheeled motor vehicle,accidents,transport_accidents,emergency_admission,
V23,hes_apc,diag,icd10,motorcycle rider injured in collision with car pick-up truck or van,accidents,transport_accidents,emergency_admission,
V24,hes_apc,diag,icd10,motorcycle rider injured in collision with heavy transport vehicle or bus,accidents,transport_accidents,emergency_admission,
V25,hes_apc,diag,icd10,motorcycle rider injured in collision with railway train or railway vehicle,accidents,transport_accidents,emergency_admission,
V26,hes_apc,diag,icd10,motorcycle rider injured in collision with other nonmotor vehicle,accidents,transport_accidents,emergency_admission,
V27,hes_apc,diag,icd10,motorcycle rider injured in collision with fixed or stationary object,accidents,transport_accidents,emergency_admission,
V28,hes_apc,diag,icd10,motorcycle rider injured in noncollision transport accident,accidents,transport_accidents,emergency_admission,
V29,hes_apc,diag,icd10,motorcycle rider injured in other and unspecified transport accidents,accidents,transport_accidents,emergency_admission,
V30,hes_apc,diag,icd10,occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal,accidents,transport_accidents,emergency_admission,
V31,hes_apc,diag,icd10,occupant of three-wheeled motor vehicle injured in collision with pedal cycle,accidents,transport_accidents,emergency_admission,
V32,hes_apc,diag,icd10,occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle,accidents,transport_accidents,emergency_admission,
V33,hes_apc,diag,icd10,occupant of three-wheeled motor vehicle injured in collision with car pick-up truck or van,accidents,transport_accidents,emergency_admission,
V34,hes_apc,diag,icd10,occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus,accidents,transport_accidents,emergency_admission,
V35,hes_apc,diag,icd10,occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle,accidents,transport_accidents,emergency_admission,
V36,hes_apc,diag,icd10,occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle,accidents,transport_accidents,emergency_admission,
V37,hes_apc,diag,icd10,occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object,accidents,transport_accidents,emergency_admission,
V38,hes_apc,diag,icd10,occupant of three-wheeled motor vehicle injured in noncollision transport accident,accidents,transport_accidents,emergency_admission,
V39,hes_apc,diag,icd10,occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents,accidents,transport_accidents,emergency_admission,
V40,hes_apc,diag,icd10,car occupant injured in collision with pedestrian or animal,accidents,transport_accidents,emergency_admission,
V41,hes_apc,diag,icd10,car occupant injured in collision with pedal cycle,accidents,transport_accidents,emergency_admission,
V42,hes_apc,diag,icd10,car occupant injured in collision with two- or three-wheeled motor vehicle,accidents,transport_accidents,emergency_admission,
V43,hes_apc,diag,icd10,car occupant injured in collision with car pick-up truck or van,accidents,transport_accidents,emergency_admission,
V44,hes_apc,diag,icd10,car occupant injured in collision with heavy transport vehicle or bus,accidents,transport_accidents,emergency_admission,
V45,hes_apc,diag,icd10,car occupant injured in collision with railway train or railway vehicle,accidents,transport_accidents,emergency_admission,
V46,hes_apc,diag,icd10,car occupant injured in collision with other nonmotor vehicle,accidents,transport_accidents,emergency_admission,
V47,hes_apc,diag,icd10,car occupant injured in collision with fixed or stationary object,accidents,transport_accidents,emergency_admission,
V48,hes_apc,diag,icd10,car occupant injured in noncollision transport accident,accidents,transport_accidents,emergency_admission,
V49,hes_apc,diag,icd10,car occupant injured in other and unspecified transport accidents,accidents,transport_accidents,emergency_admission,
V50,hes_apc,diag,icd10,occupant of pick-up truck or van injured in collision with pedestrian or animal,accidents,transport_accidents,emergency_admission,
V51,hes_apc,diag,icd10,occupant of pick-up truck or van injured in collision with pedal cycle,accidents,transport_accidents,emergency_admission,
V52,hes_apc,diag,icd10,occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle,accidents,transport_accidents,emergency_admission,
V53,hes_apc,diag,icd10,occupant of pick-up truck or van injured in collision with car pick-up truck or van,accidents,transport_accidents,emergency_admission,
V54,hes_apc,diag,icd10,occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus,accidents,transport_accidents,emergency_admission,
V55,hes_apc,diag,icd10,occupant of pick-up truck or van injured in collision with railway train or railway vehicle,accidents,transport_accidents,emergency_admission,
V56,hes_apc,diag,icd10,occupant of pick-up truck or van injured in collision with other nonmotor vehicle,accidents,transport_accidents,emergency_admission,
V57,hes_apc,diag,icd10,occupant of pick-up truck or van injured in collision with fixed or stationary object,accidents,transport_accidents,emergency_admission,
V58,hes_apc,diag,icd10,occupant of pick-up truck or van injured in noncollision transport accident,accidents,transport_accidents,emergency_admission,
V59,hes_apc,diag,icd10,occupant of pick-up truck or van injured in other and unspecified transport accidents,accidents,transport_accidents,emergency_admission,
V60,hes_apc,diag,icd10,occupant of heavy transport vehicle injured in collision with pedestrian or animal,accidents,transport_accidents,emergency_admission,
V61,hes_apc,diag,icd10,occupant of heavy transport vehicle injured in collision with pedal cycle,accidents,transport_accidents,emergency_admission,
V62,hes_apc,diag,icd10,occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle,accidents,transport_accidents,emergency_admission,
V63,hes_apc,diag,icd10,occupant of heavy transport vehicle injured in collision with car pick-up truck or van,accidents,transport_accidents,emergency_admission,
V64,hes_apc,diag,icd10,occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus,accidents,transport_accidents,emergency_admission,
V65,hes_apc,diag,icd10,occupant of heavy transport vehicle injured in collision with railway train or railway vehicle,accidents,transport_accidents,emergency_admission,
V66,hes_apc,diag,icd10,occupant of heavy transport vehicle injured in collision with other nonmotor vehicle,accidents,transport_accidents,emergency_admission,
V67,hes_apc,diag,icd10,occupant of heavy transport vehicle injured in collision with fixed or stationary object,accidents,transport_accidents,emergency_admission,
V68,hes_apc,diag,icd10,occupant of heavy transport vehicle injured in noncollision transport accident,accidents,transport_accidents,emergency_admission,
V69,hes_apc,diag,icd10,occupant of heavy transport vehicle injured in other and unspecified transport accidents,accidents,transport_accidents,emergency_admission,
V70,hes_apc,diag,icd10,bus occupant injured in collision with pedestrian or animal,accidents,transport_accidents,emergency_admission,
V71,hes_apc,diag,icd10,bus occupant injured in collision with pedal cycle,accidents,transport_accidents,emergency_admission,
V72,hes_apc,diag,icd10,bus occupant injured in collision with two- or three-wheeled motor vehicle,accidents,transport_accidents,emergency_admission,
V73,hes_apc,diag,icd10,bus occupant injured in collision with car pick-up truck or van,accidents,transport_accidents,emergency_admission,
V74,hes_apc,diag,icd10,bus occupant injured in collision with heavy transport vehicle or bus,accidents,transport_accidents,emergency_admission,
V75,hes_apc,diag,icd10,bus occupant injured in collision with railway train or railway vehicle,accidents,transport_accidents,emergency_admission,
V76,hes_apc,diag,icd10,bus occupant injured in collision with other nonmotor vehicle,accidents,transport_accidents,emergency_admission,
V77,hes_apc,diag,icd10,bus occupant injured in collision with fixed or stationary object,accidents,transport_accidents,emergency_admission,
V78,hes_apc,diag,icd10,bus occupant injured in noncollision transport accident,accidents,transport_accidents,emergency_admission,
V79,hes_apc,diag,icd10,bus occupant injured in other and unspecified transport accidents,accidents,transport_accidents,emergency_admission,
V80,hes_apc,diag,icd10,animal-rider or occupant of animal-drawn vehicle injured in transport accident,accidents,transport_accidents,emergency_admission,
V81,hes_apc,diag,icd10,occupant of railway train or railway vehicle injured in transport accident,accidents,transport_accidents,emergency_admission,
V82,hes_apc,diag,icd10,occupant of streetcar injured in transport accident,accidents,transport_accidents,emergency_admission,
V83,hes_apc,diag,icd10,occupant of special vehicle mainly used on industrial premises injured in transport accident,accidents,transport_accidents,emergency_admission,
V84,hes_apc,diag,icd10,occupant of special vehicle mainly used in agriculture injured in transport accident,accidents,transport_accidents,emergency_admission,
V85,hes_apc,diag,icd10,occupant of special construction vehicle injured in transport accident,accidents,transport_accidents,emergency_admission,
V86,hes_apc,diag,icd10,occupant of special all-terrain or other motor vehicle designed primarily for off-road use injured in transport accident,accidents,transport_accidents,emergency_admission,
V87,hes_apc,diag,icd10,traffic accident of specified type but victim's mode of transport unknown,accidents,transport_accidents,emergency_admission,
V88,hes_apc,diag,icd10,nontraffic accident of specified type but victim's mode of transport unknown,accidents,transport_accidents,emergency_admission,
V89,hes_apc,diag,icd10,motor- or nonmotor-vehicle accident type of vehicle unspecified,accidents,transport_accidents,emergency_admission,
V90,hes_apc,diag,icd10,accident to watercraft causing drowning and submersion,accidents,transport_accidents,emergency_admission,
V91,hes_apc,diag,icd10,accident to watercraft causing other injury,accidents,transport_accidents,emergency_admission,
V92,hes_apc,diag,icd10,water-transport-related drowning and submersion without accident to watercraft,accidents,transport_accidents,emergency_admission,
V93,hes_apc,diag,icd10,accident on board watercraft without accident to watercraft not causing drowning and submersion,accidents,transport_accidents,emergency_admission,
V94,hes_apc,diag,icd10,other and unspecified water transport accidents,accidents,transport_accidents,emergency_admission,
V95,hes_apc,diag,icd10,accident to powered aircraft causing injury to occupant,accidents,transport_accidents,emergency_admission,
V96,hes_apc,diag,icd10,accident to nonpowered aircraft causing injury to occupant,accidents,transport_accidents,emergency_admission,
V97,hes_apc,diag,icd10,other specified air transport accidents,accidents,transport_accidents,emergency_admission,
V98,hes_apc,diag,icd10,other specified transport accidents,accidents,transport_accidents,emergency_admission,
V99,hes_apc,diag,icd10,unspecified transport accident,accidents,transport_accidents,emergency_admission,
W00,hes_apc,diag,icd10,fall on same level involving ice and snow,accidents,falls,emergency_admission,
W01,hes_apc,diag,icd10,fall on same level from slipping tripping and stumbling,accidents,falls,emergency_admission,
W02,hes_apc,diag,icd10,fall involving ice-skates skis roller-skates or skateboards,accidents,falls,emergency_admission,
W03,hes_apc,diag,icd10,other fall on same level due to collision with or pushing by another person,accidents,falls,emergency_admission,
W04,hes_apc,diag,icd10,fall while being carried or supported by other persons,accidents,falls,emergency_admission,
W05,hes_apc,diag,icd10,fall involving wheelchair,accidents,falls,emergency_admission,
W06,hes_apc,diag,icd10,fall involving bed,accidents,falls,emergency_admission,
W07,hes_apc,diag,icd10,fall involving chair,accidents,falls,emergency_admission,
W08,hes_apc,diag,icd10,fall involving other furniture,accidents,falls,emergency_admission,
W09,hes_apc,diag,icd10,fall involving playground equipment,accidents,falls,emergency_admission,
W10,hes_apc,diag,icd10,fall on and from stairs and steps,accidents,falls,emergency_admission,
W11,hes_apc,diag,icd10,fall on and from ladder,accidents,falls,emergency_admission,
W12,hes_apc,diag,icd10,fall on and from scaffolding,accidents,falls,emergency_admission,
W13,hes_apc,diag,icd10,fall from out of or through building or structure,accidents,falls,emergency_admission,
W14,hes_apc,diag,icd10,fall from tree,accidents,falls,emergency_admission,
W15,hes_apc,diag,icd10,fall from cliff,accidents,falls,emergency_admission,
W16,hes_apc,diag,icd10,diving or jumping into water causing injury other than drowning or submersion,accidents,falls,emergency_admission,
W17,hes_apc,diag,icd10,other fall from one level to another,accidents,falls,emergency_admission,
W18,hes_apc,diag,icd10,other fall on same level,accidents,falls,emergency_admission,
W19,hes_apc,diag,icd10,unspecified fall,accidents,falls,emergency_admission,
W20,hes_apc,diag,icd10,struck by thrown projected or falling object,accidents,inanimate_mech_force,emergency_admission,
W21,hes_apc,diag,icd10,striking against or struck by sports equipment,accidents,inanimate_mech_force,emergency_admission,
W22,hes_apc,diag,icd10,striking against or struck by other objects,accidents,inanimate_mech_force,emergency_admission,
W23,hes_apc,diag,icd10,caught crushed jammed or pinched in or between objects,accidents,inanimate_mech_force,emergency_admission,
W24,hes_apc,diag,icd10,contact with lifting and transmission devices not elsewhere classified,accidents,inanimate_mech_force,emergency_admission,
W25,hes_apc,diag,icd10,contact with sharp glass,accidents,inanimate_mech_force,emergency_admission,
W26,hes_apc,diag,icd10,contact with other sharp object(s),accidents,inanimate_mech_force,emergency_admission,
W27,hes_apc,diag,icd10,contact with nonpowered hand tool,accidents,inanimate_mech_force,emergency_admission,
W28,hes_apc,diag,icd10,contact with powered lawnmower,accidents,inanimate_mech_force,emergency_admission,
W29,hes_apc,diag,icd10,contact with other powered hand tools and household machinery,accidents,inanimate_mech_force,emergency_admission,
W30,hes_apc,diag,icd10,contact with agricultural machinery,accidents,inanimate_mech_force,emergency_admission,
W31,hes_apc,diag,icd10,contact with other and unspecified machinery,accidents,inanimate_mech_force,emergency_admission,
W32,hes_apc,diag,icd10,handgun discharge,accidents,inanimate_mech_force,emergency_admission,
W33,hes_apc,diag,icd10,rifle shotgun and larger firearm discharge,accidents,inanimate_mech_force,emergency_admission,
W34,hes_apc,diag,icd10,discharge from other and unspecified firearms,accidents,inanimate_mech_force,emergency_admission,
W35,hes_apc,diag,icd10,explosion and rupture of boiler,accidents,inanimate_mech_force,emergency_admission,
W36,hes_apc,diag,icd10,explosion and rupture of gas cylinder,accidents,inanimate_mech_force,emergency_admission,
W37,hes_apc,diag,icd10,explosion and rupture of pressurized tyre pipe or hose,accidents,inanimate_mech_force,emergency_admission,
W38,hes_apc,diag,icd10,explosion and rupture of other specified pressurized devices,accidents,inanimate_mech_force,emergency_admission,
W39,hes_apc,diag,icd10,discharge of firework,accidents,inanimate_mech_force,emergency_admission,
W40,hes_apc,diag,icd10,explosion of other materials,accidents,inanimate_mech_force,emergency_admission,
W41,hes_apc,diag,icd10,exposure to high-pressure jet,accidents,inanimate_mech_force,emergency_admission,
W42,hes_apc,diag,icd10,exposure to noise,accidents,inanimate_mech_force,emergency_admission,
W43,hes_apc,diag,icd10,exposure to vibration,accidents,inanimate_mech_force,emergency_admission,
W44,hes_apc,diag,icd10,foreign body entering into or through eye or natural orifice,accidents,inanimate_mech_force,emergency_admission,
W45,hes_apc,diag,icd10,foreign body or object entering through skin,accidents,inanimate_mech_force,emergency_admission,
W46,hes_apc,diag,icd10,contact with hypodermic needle,accidents,inanimate_mech_force,emergency_admission,
W49,hes_apc,diag,icd10,exposure to other and unspecified inanimate mechanical forces,accidents,inanimate_mech_force,emergency_admission,
W50,hes_apc,diag,icd10,hit struck kicked twisted bitten or scratched by another person,accidents,animate_mech_force,emergency_admission,
W51,hes_apc,diag,icd10,striking against or bumped into by another person,accidents,animate_mech_force,emergency_admission,
W52,hes_apc,diag,icd10,crushed pushed or stepped on by crowd or human stampede,accidents,animate_mech_force,emergency_admission,
W53,hes_apc,diag,icd10,bitten by rat,accidents,animate_mech_force,emergency_admission,
W54,hes_apc,diag,icd10,bitten or struck by dog,accidents,animate_mech_force,emergency_admission,
W55,hes_apc,diag,icd10,bitten or struck by other mammals,accidents,animate_mech_force,emergency_admission,
W56,hes_apc,diag,icd10,contact with marine animal,accidents,animate_mech_force,emergency_admission,
W57,hes_apc,diag,icd10,bitten or stung by nonvenomous insect and other nonvenomous arthropods,accidents,animate_mech_force,emergency_admission,
W58,hes_apc,diag,icd10,bitten or struck by crocodile or alligator,accidents,animate_mech_force,emergency_admission,
W59,hes_apc,diag,icd10,bitten or crushed by other reptiles,accidents,animate_mech_force,emergency_admission,
W60,hes_apc,diag,icd10,contact with plant thorns and spines and sharp leaves,accidents,animate_mech_force,emergency_admission,
W64,hes_apc,diag,icd10,exposure to other and unspecified animate mechanical forces,accidents,animate_mech_force,emergency_admission,
